Date,company,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
31-Dec-18, BAJAJ ELECTRICALS LTD,502.1,512,500.75,503.7,24238,759
28-Dec-18, BAJAJ ELECTRICALS LTD,500.1,504.95,493.65,496.2,35443,548
27-Dec-18, BAJAJ ELECTRICALS LTD,515.9,516,494,497.3,34709,1094
26-Dec-18, BAJAJ ELECTRICALS LTD,500.5,500.5,487.5,494.25,10673,298
24-Dec-18, BAJAJ ELECTRICALS LTD,506.4,511.1,497.5,500.75,20490,664
21-Dec-18, BAJAJ ELECTRICALS LTD,523.5,525.4,502.05,505.65,22202,726
20-Dec-18, BAJAJ ELECTRICALS LTD,508,522.5,508,515.85,26218,794
19-Dec-18, BAJAJ ELECTRICALS LTD,512.45,525.4,508.05,511,29351,970
18-Dec-18, BAJAJ ELECTRICALS LTD,506.15,515,503,508.2,8982,350
17-Dec-18, BAJAJ ELECTRICALS LTD,513.65,517.9,504.9,507.8,9799,440
14-Dec-18, BAJAJ ELECTRICALS LTD,504,520,489.2,513.35,40328,1183
13-Dec-18, BAJAJ ELECTRICALS LTD,477,506,477,502.7,38539,1232
12-Dec-18, BAJAJ ELECTRICALS LTD,472.2,483.9,471.25,476.75,18426,638
11-Dec-18, BAJAJ ELECTRICALS LTD,455,473.05,450,471.05,9727,376
10-Dec-18, BAJAJ ELECTRICALS LTD,469,471.7,462.15,464.25,22883,420
07-Dec-18, BAJAJ ELECTRICALS LTD,470.9,480.7,469,470.2,17406,660
06-Dec-18, BAJAJ ELECTRICALS LTD,469.45,477.95,459.2,470.85,7388,342
05-Dec-18, BAJAJ ELECTRICALS LTD,473,475.5,471,473.15,10593,488
04-Dec-18, BAJAJ ELECTRICALS LTD,475.4,478.2,474.55,476.7,10944,401
03-Dec-18, BAJAJ ELECTRICALS LTD,476.2,478,472,474.45,10463,389
30-Nov-18, BAJAJ ELECTRICALS LTD,471.8,483.75,468.9,471.9,21052,910
29-Nov-18, BAJAJ ELECTRICALS LTD,470.95,477.8,469.65,472.25,16843,552
28-Nov-18, BAJAJ ELECTRICALS LTD,461.35,473,455.7,471,27896,787
27-Nov-18, BAJAJ ELECTRICALS LTD,458.65,460.8,451,455.6,12365,452
26-Nov-18, BAJAJ ELECTRICALS LTD,471,471,459.05,462.05,13493,449
22-Nov-18, BAJAJ ELECTRICALS LTD,475,476.5,466,469.3,14326,559
21-Nov-18, BAJAJ ELECTRICALS LTD,481.8,483.7,472.5,476.05,14480,602
20-Nov-18, BAJAJ ELECTRICALS LTD,487.75,490,480,483.65,20349,725
19-Nov-18, BAJAJ ELECTRICALS LTD,506,523.65,483.25,487.75,91370,2894
16-Nov-18, BAJAJ ELECTRICALS LTD,495.15,514.35,492,506.6,21225,788
15-Nov-18, BAJAJ ELECTRICALS LTD,500.5,501.2,492.5,492.8,532661,527
14-Nov-18, BAJAJ ELECTRICALS LTD,502.1,507.25,498,500.5,10970,449
13-Nov-18, BAJAJ ELECTRICALS LTD,494,505,492.05,501.95,8560,458
12-Nov-18, BAJAJ ELECTRICALS LTD,514,514,498,499.25,11838,415
09-Nov-18, BAJAJ ELECTRICALS LTD,500.15,509,500,503.55,13008,486
07-Nov-18, BAJAJ ELECTRICALS LTD,500,506.3,500,502.8,2269,122
06-Nov-18, BAJAJ ELECTRICALS LTD,505.05,516,496.35,500.45,15668,638
05-Nov-18, BAJAJ ELECTRICALS LTD,500.05,509.8,500,504.2,17171,561
02-Nov-18, BAJAJ ELECTRICALS LTD,527,527,497.75,500.5,55535,1655
01-Nov-18, BAJAJ ELECTRICALS LTD,493.1,515.05,493,504.4,72050,2001
31-Oct-18, BAJAJ ELECTRICALS LTD,478,490.4,475.4,486.5,31239,1040
30-Oct-18, BAJAJ ELECTRICALS LTD,470.8,476.9,463,473.1,12141,458
29-Oct-18, BAJAJ ELECTRICALS LTD,485,485,454,464.9,19006,940
26-Oct-18, BAJAJ ELECTRICALS LTD,482.65,482.75,471,474.4,7044,355
25-Oct-18, BAJAJ ELECTRICALS LTD,492.8,492.8,480,484,8968,423
24-Oct-18, BAJAJ ELECTRICALS LTD,497.95,497.95,490,493.9,9682,327
23-Oct-18, BAJAJ ELECTRICALS LTD,488,502.1,487,490.05,8067,326
22-Oct-18, BAJAJ ELECTRICALS LTD,505,507.35,489,492.9,4364,250
19-Oct-18, BAJAJ ELECTRICALS LTD,514.9,518,498.6,502.9,7835,495
17-Oct-18, BAJAJ ELECTRICALS LTD,540,542.6,510.05,514.9,21173,749
16-Oct-18, BAJAJ ELECTRICALS LTD,502.8,535,501.3,530.65,23366,975
15-Oct-18, BAJAJ ELECTRICALS LTD,500,509.15,499.2,502.55,6391,299
12-Oct-18, BAJAJ ELECTRICALS LTD,500,508,496,497.75,17404,595
11-Oct-18, BAJAJ ELECTRICALS LTD,502.9,502.9,487.65,492.55,10690,503
10-Oct-18, BAJAJ ELECTRICALS LTD,502,517.65,501,508.9,16172,667
09-Oct-18, BAJAJ ELECTRICALS LTD,478.55,498,477.05,494.35,29045,882
08-Oct-18, BAJAJ ELECTRICALS LTD,489,489,473,476.65,45888,1319
05-Oct-18, BAJAJ ELECTRICALS LTD,495,495,471.55,489.7,20415,853
04-Oct-18, BAJAJ ELECTRICALS LTD,492,500,488.5,495.55,6789,320
03-Oct-18, BAJAJ ELECTRICALS LTD,502,509.5,492,496.5,10665,490
01-Oct-18, BAJAJ ELECTRICALS LTD,500,514.65,480,502,27887,1524
28-Sep-18, BAJAJ ELECTRICALS LTD,493,516.5,483.85,499.95,61608,3506
27-Sep-18, BAJAJ ELECTRICALS LTD,495.05,502.5,489,492.35,32152,1159
26-Sep-18, BAJAJ ELECTRICALS LTD,509.55,509.7,480.2,492.8,20196,791
25-Sep-18, BAJAJ ELECTRICALS LTD,511.25,513,484.35,505.25,33436,927
24-Sep-18, BAJAJ ELECTRICALS LTD,511,531.1,498.9,519.05,20662,636
21-Sep-18, BAJAJ ELECTRICALS LTD,529.8,533.8,505.15,515.25,16198,528
19-Sep-18, BAJAJ ELECTRICALS LTD,535.2,538.6,524,527.05,10761,350
18-Sep-18, BAJAJ ELECTRICALS LTD,541.8,545.2,529.15,530.75,16625,533
17-Sep-18, BAJAJ ELECTRICALS LTD,540.6,547.9,532,542.1,20545,737
14-Sep-18, BAJAJ ELECTRICALS LTD,534,544,532.95,540.75,16479,506
12-Sep-18, BAJAJ ELECTRICALS LTD,525.55,533.4,516.5,528.15,17833,598
11-Sep-18, BAJAJ ELECTRICALS LTD,533,533.55,521.5,525.55,18334,770
10-Sep-18, BAJAJ ELECTRICALS LTD,540,543,530.1,533.85,23158,927
07-Sep-18, BAJAJ ELECTRICALS LTD,539.25,545.4,530.25,533.8,20443,562
06-Sep-18, BAJAJ ELECTRICALS LTD,540,546,536,538.8,89094,271
05-Sep-18, BAJAJ ELECTRICALS LTD,546,557,527.5,537.4,15797,582
04-Sep-18, BAJAJ ELECTRICALS LTD,571,574.85,544.5,547.65,37676,996
03-Sep-18, BAJAJ ELECTRICALS LTD,563.3,576,561.15,569.85,35378,1003
31-Aug-18, BAJAJ ELECTRICALS LTD,543.2,569.6,542.75,564.45,85317,3099
30-Aug-18, BAJAJ ELECTRICALS LTD,543,549.9,542.25,545.95,13761,535
29-Aug-18, BAJAJ ELECTRICALS LTD,543.9,552,541.15,544.25,17350,745
28-Aug-18, BAJAJ ELECTRICALS LTD,555,556.5,540,543.85,31932,1033
27-Aug-18, BAJAJ ELECTRICALS LTD,568,573,551.55,554.6,23103,731
24-Aug-18, BAJAJ ELECTRICALS LTD,559.25,566.75,556.85,564,26530,709
23-Aug-18, BAJAJ ELECTRICALS LTD,545,564,543.25,559.25,57264,1398
21-Aug-18, BAJAJ ELECTRICALS LTD,551.95,551.95,542.85,544.65,76086,425
20-Aug-18, BAJAJ ELECTRICALS LTD,549,553.95,544,547.85,32023,730
17-Aug-18, BAJAJ ELECTRICALS LTD,546.9,554.2,543.65,545.7,39363,1063
16-Aug-18, BAJAJ ELECTRICALS LTD,559,569,539,541.6,64528,2133
14-Aug-18, BAJAJ ELECTRICALS LTD,565,572.7,554.4,558.5,60988,2915
13-Aug-18, BAJAJ ELECTRICALS LTD,591,591,550,555.95,140603,3547
10-Aug-18, BAJAJ ELECTRICALS LTD,629,636.1,601,605.6,66719,2916
09-Aug-18, BAJAJ ELECTRICALS LTD,627,646,615,624.5,161002,3874
08-Aug-18, BAJAJ ELECTRICALS LTD,618.25,628,612.25,623.05,39433,1037
07-Aug-18, BAJAJ ELECTRICALS LTD,618,630,611.1,618.15,42826,933
06-Aug-18, BAJAJ ELECTRICALS LTD,611,627.85,609,616.45,64132,1536
03-Aug-18, BAJAJ ELECTRICALS LTD,597.4,616,597.35,604,55443,1191
02-Aug-18, BAJAJ ELECTRICALS LTD,601.45,609,591,595.05,34620,719
01-Aug-18, BAJAJ ELECTRICALS LTD,612,616.35,604,607.5,36932,991
31-Jul-18, BAJAJ ELECTRICALS LTD,608,619.8,602.45,613,46523,2029
30-Jul-18, BAJAJ ELECTRICALS LTD,612,617.6,596,607.6,67455,2753
27-Jul-18, BAJAJ ELECTRICALS LTD,598.95,620.4,581.1,609.55,119886,4348
26-Jul-18, BAJAJ ELECTRICALS LTD,629.85,629.85,591.1,596.55,81753,4288
25-Jul-18, BAJAJ ELECTRICALS LTD,645,658.7,624.85,629.25,138331,4000
24-Jul-18, BAJAJ ELECTRICALS LTD,575,644,569.1,628.4,202630,6065
23-Jul-18, BAJAJ ELECTRICALS LTD,555.9,642,549,575.95,431982,12365
20-Jul-18, BAJAJ ELECTRICALS LTD,520,558.7,520,543.6,60357,1597
19-Jul-18, BAJAJ ELECTRICALS LTD,525.5,534,510.25,523.75,16361,588
18-Jul-18, BAJAJ ELECTRICALS LTD,528,534.6,522.2,524.85,12693,501
17-Jul-18, BAJAJ ELECTRICALS LTD,524.9,531.5,519.95,525.2,10640,594
16-Jul-18, BAJAJ ELECTRICALS LTD,546,546,515.7,525.2,20412,902
13-Jul-18, BAJAJ ELECTRICALS LTD,562.95,562.95,548,550.8,67290,1331
12-Jul-18, BAJAJ ELECTRICALS LTD,543.3,574.45,541.75,565.7,121794,3165
11-Jul-18, BAJAJ ELECTRICALS LTD,552,556.95,538.05,540.5,38938,1158
10-Jul-18, BAJAJ ELECTRICALS LTD,524.25,559.95,517.5,552.6,68419,1775
09-Jul-18, BAJAJ ELECTRICALS LTD,521.05,527,520.35,523.35,10833,452
06-Jul-18, BAJAJ ELECTRICALS LTD,524,525.9,517.05,519.65,15936,519
05-Jul-18, BAJAJ ELECTRICALS LTD,522,526,516.5,518.45,14945,590
04-Jul-18, BAJAJ ELECTRICALS LTD,527.95,535.5,520.25,522.1,23582,800
03-Jul-18, BAJAJ ELECTRICALS LTD,524.3,532.85,522,525,18689,404
02-Jul-18, BAJAJ ELECTRICALS LTD,535.1,542.25,518,522.2,41404,832
29-Jun-18, BAJAJ ELECTRICALS LTD,526.1,547,526.1,544.05,26825,825
28-Jun-18, BAJAJ ELECTRICALS LTD,525,531,515.95,527.6,15817,439
27-Jun-18, BAJAJ ELECTRICALS LTD,532.05,536.65,516,523.3,29283,961
26-Jun-18, BAJAJ ELECTRICALS LTD,532,541.6,530,532.05,19378,497
25-Jun-18, BAJAJ ELECTRICALS LTD,541,547.9,534,537.45,15872,472
22-Jun-18, BAJAJ ELECTRICALS LTD,530,549.45,526.6,546.25,37959,931
21-Jun-18, BAJAJ ELECTRICALS LTD,538.55,540.95,525.35,530,28709,646
20-Jun-18, BAJAJ ELECTRICALS LTD,537.6,542.2,532.4,538.55,17868,451
19-Jun-18, BAJAJ ELECTRICALS LTD,532.05,559.9,532.05,537.6,65379,1677
18-Jun-18, BAJAJ ELECTRICALS LTD,539.8,542.95,533.3,537.1,21690,566
15-Jun-18, BAJAJ ELECTRICALS LTD,535,547,523,537.3,94846,2299
14-Jun-18, BAJAJ ELECTRICALS LTD,530,535,521,532.95,24437,702
13-Jun-18, BAJAJ ELECTRICALS LTD,531.3,540,526,529.65,25664,698
12-Jun-18, BAJAJ ELECTRICALS LTD,525.05,543,523.75,536.75,51546,1506
11-Jun-18, BAJAJ ELECTRICALS LTD,525.1,536.3,524,527.95,25950,858
08-Jun-18, BAJAJ ELECTRICALS LTD,531,533.9,517.25,523.7,44347,1133
07-Jun-18, BAJAJ ELECTRICALS LTD,541,549.7,531.85,536,70506,1666
06-Jun-18, BAJAJ ELECTRICALS LTD,488,550,475,534.35,173378,4823
05-Jun-18, BAJAJ ELECTRICALS LTD,528.9,542,461.15,492.45,142849,3813
04-Jun-18, BAJAJ ELECTRICALS LTD,542.25,545,526.2,530.25,48288,1102
01-Jun-18, BAJAJ ELECTRICALS LTD,533,553.2,521.8,539,66298,1842
31-May-18, BAJAJ ELECTRICALS LTD,541.35,548,524.55,532.05,27996,840
30-May-18, BAJAJ ELECTRICALS LTD,546.95,552,540.1,541.35,20412,601
29-May-18, BAJAJ ELECTRICALS LTD,556.4,561.35,546.35,550.95,30496,1015
28-May-18, BAJAJ ELECTRICALS LTD,571,576.2,552,555.4,33573,1126
25-May-18, BAJAJ ELECTRICALS LTD,584,586.65,563.1,567.15,73430,2044
24-May-18, BAJAJ ELECTRICALS LTD,580,597.7,555.75,563.15,84078,3738
23-May-18, BAJAJ ELECTRICALS LTD,623.45,641.5,570,585.95,399696,10685
22-May-18, BAJAJ ELECTRICALS LTD,601.8,618.15,592,604.8,71549,1909
21-May-18, BAJAJ ELECTRICALS LTD,584,603.9,582.9,596.15,20848,774
18-May-18, BAJAJ ELECTRICALS LTD,591.65,601.05,581.4,583.6,29531,756
17-May-18, BAJAJ ELECTRICALS LTD,609,613.85,588,596,22960,761
16-May-18, BAJAJ ELECTRICALS LTD,600.1,621,598,604.45,34430,1092
15-May-18, BAJAJ ELECTRICALS LTD,618.2,624.95,600,607.7,39578,1549
14-May-18, BAJAJ ELECTRICALS LTD,627.05,647.75,612.15,618.05,47095,2549
11-May-18, BAJAJ ELECTRICALS LTD,640,642.75,622,625.7,23057,692
10-May-18, BAJAJ ELECTRICALS LTD,657.95,660.9,630,635.2,27719,885
09-May-18, BAJAJ ELECTRICALS LTD,669.6,669.6,654.75,659.2,16038,496
08-May-18, BAJAJ ELECTRICALS LTD,668.45,675.45,656,669.65,54829,1684
07-May-18, BAJAJ ELECTRICALS LTD,641.3,667.8,633.7,662.6,62073,2150
04-May-18, BAJAJ ELECTRICALS LTD,645.35,651,630.1,638.35,16432,475
03-May-18, BAJAJ ELECTRICALS LTD,639.85,649,636.05,640.5,16241,576
02-May-18, BAJAJ ELECTRICALS LTD,655.5,655.5,629.65,637.3,24523,1027
30-Apr-18, BAJAJ ELECTRICALS LTD,657,659.9,647.35,654.85,19818,876
27-Apr-18, BAJAJ ELECTRICALS LTD,651,663.75,650.15,653.3,28757,980
26-Apr-18, BAJAJ ELECTRICALS LTD,658.65,664,645.65,650.4,36378,1164
25-Apr-18, BAJAJ ELECTRICALS LTD,671.55,674.75,646.1,655.4,36594,1660
24-Apr-18, BAJAJ ELECTRICALS LTD,688.8,706.35,660,666.5,138879,4964
23-Apr-18, BAJAJ ELECTRICALS LTD,647,695.55,638.1,683.6,120512,3417
20-Apr-18, BAJAJ ELECTRICALS LTD,646.15,648,639,644.7,17409,461
19-Apr-18, BAJAJ ELECTRICALS LTD,650.6,652,638,643.55,29687,833
18-Apr-18, BAJAJ ELECTRICALS LTD,657,659.9,646,649.6,58167,1470
17-Apr-18, BAJAJ ELECTRICALS LTD,640.3,669.9,640.3,654.1,501516,13402
16-Apr-18, BAJAJ ELECTRICALS LTD,612,633.9,611,619.2,49264,1092
13-Apr-18, BAJAJ ELECTRICALS LTD,613.2,625,613.2,617.6,24590,573
12-Apr-18, BAJAJ ELECTRICALS LTD,620.05,628.25,615,617.8,30672,812
11-Apr-18, BAJAJ ELECTRICALS LTD,623.65,633,613.05,622.3,71312,1476
10-Apr-18, BAJAJ ELECTRICALS LTD,620,626,610.2,621.2,40051,866
09-Apr-18, BAJAJ ELECTRICALS LTD,605.8,626,605.8,618.5,86656,1888
06-Apr-18, BAJAJ ELECTRICALS LTD,614,630,602.5,605.9,70596,1624
05-Apr-18, BAJAJ ELECTRICALS LTD,627,634,612.25,617.9,46352,1284
04-Apr-18, BAJAJ ELECTRICALS LTD,645,663.55,588.5,607.4,264631,6989
03-Apr-18, BAJAJ ELECTRICALS LTD,575.45,638.8,574.95,621.7,103825,2395
02-Apr-18, BAJAJ ELECTRICALS LTD,569.45,580,569,575.35,16399,442
28-Mar-18, BAJAJ ELECTRICALS LTD,570.9,572.95,554.4,561.75,29195,680
27-Mar-18, BAJAJ ELECTRICALS LTD,564,583,564,573.95,52427,1212
26-Mar-18, BAJAJ ELECTRICALS LTD,554.95,565.7,531.4,561.8,56997,1285
23-Mar-18, BAJAJ ELECTRICALS LTD,529,537,514.25,531.2,55002,1298
22-Mar-18, BAJAJ ELECTRICALS LTD,553.8,566,533.35,537.5,71519,1674
21-Mar-18, BAJAJ ELECTRICALS LTD,560,567.85,547.5,550,37125,937
20-Mar-18, BAJAJ ELECTRICALS LTD,554,574.8,545,554.05,77167,1978
19-Mar-18, BAJAJ ELECTRICALS LTD,590,599.45,549,557.9,82365,1850
16-Mar-18, BAJAJ ELECTRICALS LTD,612,625,581,587.3,71198,1950
15-Mar-18, BAJAJ ELECTRICALS LTD,622,634.35,602,608.5,2691940,3804
14-Mar-18, BAJAJ ELECTRICALS LTD,608,632.85,602,621.2,133918,3218
13-Mar-18, BAJAJ ELECTRICALS LTD,575.5,623.7,565,611.2,179931,4170
12-Mar-18, BAJAJ ELECTRICALS LTD,568.1,580.95,568,574.5,45801,1096
09-Mar-18, BAJAJ ELECTRICALS LTD,569,574,557.75,563.15,52081,1457
08-Mar-18, BAJAJ ELECTRICALS LTD,555.95,570,553.5,563.95,61795,1458
07-Mar-18, BAJAJ ELECTRICALS LTD,570,576,545.6,550.1,56667,1593
06-Mar-18, BAJAJ ELECTRICALS LTD,541.55,576.2,540,567.2,94638,2686
05-Mar-18, BAJAJ ELECTRICALS LTD,536.8,549.7,527.65,544.85,40229,1093
01-Mar-18, BAJAJ ELECTRICALS LTD,528.85,547,528.45,536.35,62595,1333
28-Feb-18, BAJAJ ELECTRICALS LTD,537.45,539,522.8,526.9,30540,1103
27-Feb-18, BAJAJ ELECTRICALS LTD,534,545.75,522.8,541.95,91996,2257
26-Feb-18, BAJAJ ELECTRICALS LTD,507.2,532.6,505.25,528.95,63978,1559
23-Feb-18, BAJAJ ELECTRICALS LTD,496,510.5,496,505.1,16832,438
22-Feb-18, BAJAJ ELECTRICALS LTD,493.05,511.35,493.05,501.25,32509,708
21-Feb-18, BAJAJ ELECTRICALS LTD,504.65,508.3,497.75,503.4,18980,441
20-Feb-18, BAJAJ ELECTRICALS LTD,500.4,513.05,490.1,500.5,32133,709
19-Feb-18, BAJAJ ELECTRICALS LTD,503.75,511.85,492.45,504.5,29539,829
16-Feb-18, BAJAJ ELECTRICALS LTD,512,512,491,505,35542,863
15-Feb-18, BAJAJ ELECTRICALS LTD,517.8,520.65,494.05,498.75,37473,1084
14-Feb-18, BAJAJ ELECTRICALS LTD,518.8,529.4,510.7,513.15,48451,1489
12-Feb-18, BAJAJ ELECTRICALS LTD,541.25,556.55,515,518.9,137381,2638
09-Feb-18, BAJAJ ELECTRICALS LTD,496.2,546,485.75,536.95,168262,4163
08-Feb-18, BAJAJ ELECTRICALS LTD,498.9,516.75,478.75,509.55,164891,3907
07-Feb-18, BAJAJ ELECTRICALS LTD,455,496.1,455,487.1,112354,3096
06-Feb-18, BAJAJ ELECTRICALS LTD,434.7,451.7,403,446.8,40329,1031
05-Feb-18, BAJAJ ELECTRICALS LTD,429.4,445.3,408.2,434.75,48030,1544
02-Feb-18, BAJAJ ELECTRICALS LTD,465.55,467,428.05,437.9,77603,2016
01-Feb-18, BAJAJ ELECTRICALS LTD,487.55,499,465.05,471.35,61440,1462
31-Jan-18, BAJAJ ELECTRICALS LTD,491,511.3,483.05,487.7,29075,917
30-Jan-18, BAJAJ ELECTRICALS LTD,496,499,481,496.2,26322,630
29-Jan-18, BAJAJ ELECTRICALS LTD,511.75,523.6,493.6,495.95,27747,782
25-Jan-18, BAJAJ ELECTRICALS LTD,530,532,509.15,511.65,26907,690
24-Jan-18, BAJAJ ELECTRICALS LTD,527,535,527,529.8,51984,1417
23-Jan-18, BAJAJ ELECTRICALS LTD,523,536.9,523,527,39530,923
22-Jan-18, BAJAJ ELECTRICALS LTD,535,535,519,520.65,17612,375
19-Jan-18, BAJAJ ELECTRICALS LTD,530.1,538.5,521.9,529.5,35336,746
18-Jan-18, BAJAJ ELECTRICALS LTD,538.75,561.35,525,529.35,56659,1327
17-Jan-18, BAJAJ ELECTRICALS LTD,550.95,550.95,534.5,538.3,40878,835
16-Jan-18, BAJAJ ELECTRICALS LTD,549.25,564.4,544.9,550.25,39367,957
15-Jan-18, BAJAJ ELECTRICALS LTD,560,561.8,547.5,550.05,14792,414
12-Jan-18, BAJAJ ELECTRICALS LTD,554.75,559.2,549.1,555.7,17723,511
11-Jan-18, BAJAJ ELECTRICALS LTD,549,561.3,545.65,548.15,35142,904
10-Jan-18, BAJAJ ELECTRICALS LTD,560.6,571,543,548.6,39702,933
09-Jan-18, BAJAJ ELECTRICALS LTD,561.35,578.95,555.05,560.75,57893,1398
08-Jan-18, BAJAJ ELECTRICALS LTD,574.95,576.5,555.1,561.7,43601,1220
05-Jan-18, BAJAJ ELECTRICALS LTD,543.6,584.8,542.05,567.55,210788,4901
04-Jan-18, BAJAJ ELECTRICALS LTD,542,551,532.25,538.35,72135,1816
03-Jan-18, BAJAJ ELECTRICALS LTD,491.95,549.25,488.05,535.45,161401,3418
02-Jan-18, BAJAJ ELECTRICALS LTD,491.65,494.45,477,490.2,26244,685
01-Jan-18, BAJAJ ELECTRICALS LTD,493.1,501.15,484.75,488.05,26321,826
29-Dec-17, BAJAJ ELECTRICALS LTD,495,501,492.55,496.85,22112,697
28-Dec-17, BAJAJ ELECTRICALS LTD,488.8,503.75,486.8,493.2,71593,2030
27-Dec-17, BAJAJ ELECTRICALS LTD,475,496,475,485.9,2283003,2679
26-Dec-17, BAJAJ ELECTRICALS LTD,477.45,480,471.95,474.35,23229,541
22-Dec-17, BAJAJ ELECTRICALS LTD,481.6,484.05,475.15,476.95,19706,558
21-Dec-17, BAJAJ ELECTRICALS LTD,483,490,475.65,477.6,17662,589
20-Dec-17, BAJAJ ELECTRICALS LTD,478.9,492.65,478.05,482.55,52572,1658
19-Dec-17, BAJAJ ELECTRICALS LTD,484,488,475.25,477.3,29740,800
18-Dec-17, BAJAJ ELECTRICALS LTD,485,486.15,450,476.85,58904,1577
15-Dec-17, BAJAJ ELECTRICALS LTD,461.85,473.35,460.7,468.2,50138,1296
14-Dec-17, BAJAJ ELECTRICALS LTD,466.7,474,448.25,451.75,34948,1086
13-Dec-17, BAJAJ ELECTRICALS LTD,480.1,488,464.25,466.7,41850,1179
12-Dec-17, BAJAJ ELECTRICALS LTD,493.35,499.5,476.7,480.55,41431,1128
11-Dec-17, BAJAJ ELECTRICALS LTD,480,503.1,478.15,491.8,68507,1574
08-Dec-17, BAJAJ ELECTRICALS LTD,490.35,492.4,477.7,481.7,25928,733
07-Dec-17, BAJAJ ELECTRICALS LTD,478.4,497.6,478.4,493.05,105921,2500
06-Dec-17, BAJAJ ELECTRICALS LTD,449,478.5,448.5,473.25,137582,3076
05-Dec-17, BAJAJ ELECTRICALS LTD,460,460,442.1,448.15,32308,781
04-Dec-17, BAJAJ ELECTRICALS LTD,449,462,444.55,453.75,35948,1330
01-Dec-17, BAJAJ ELECTRICALS LTD,460.05,469.35,446,450.2,52541,1235
30-Nov-17, BAJAJ ELECTRICALS LTD,475,484,457,469.45,59583,1284
29-Nov-17, BAJAJ ELECTRICALS LTD,494.1,495,476.6,479.6,46765,1198
28-Nov-17, BAJAJ ELECTRICALS LTD,485.05,500.8,480,494,70075,1945
27-Nov-17, BAJAJ ELECTRICALS LTD,472,497.9,462,490.25,165345,4444
24-Nov-17, BAJAJ ELECTRICALS LTD,468.3,479.85,452.55,474.2,198808,4396
23-Nov-17, BAJAJ ELECTRICALS LTD,415.75,470,413,463.75,279036,6279
22-Nov-17, BAJAJ ELECTRICALS LTD,414,417,408,413.6,26766,595
21-Nov-17, BAJAJ ELECTRICALS LTD,407.75,416.85,407.3,408.3,21960,585
20-Nov-17, BAJAJ ELECTRICALS LTD,404,415,403.7,410.05,38851,1041
17-Nov-17, BAJAJ ELECTRICALS LTD,401.05,406.95,399,399.95,25961,556
16-Nov-17, BAJAJ ELECTRICALS LTD,408.95,409.4,400.6,402.5,12686,419
15-Nov-17, BAJAJ ELECTRICALS LTD,414,416.6,394.95,403.75,27020,806
14-Nov-17, BAJAJ ELECTRICALS LTD,411.1,418.7,409,412.4,39238,1125
13-Nov-17, BAJAJ ELECTRICALS LTD,406,423.95,401.15,404.25,58866,1617
10-Nov-17, BAJAJ ELECTRICALS LTD,385.7,412.85,380.55,407.25,99515,2913
09-Nov-17, BAJAJ ELECTRICALS LTD,384,393.35,361.45,384.15,91834,2650
08-Nov-17, BAJAJ ELECTRICALS LTD,394.9,394.9,376,379.3,19087,466
07-Nov-17, BAJAJ ELECTRICALS LTD,396.3,396.9,379.5,382.25,25487,617
06-Nov-17, BAJAJ ELECTRICALS LTD,400,400,389.75,392.95,11969,379
03-Nov-17, BAJAJ ELECTRICALS LTD,391.8,396,387.75,393.65,20713,481
02-Nov-17, BAJAJ ELECTRICALS LTD,385.75,393.3,385.75,391.7,29918,714
01-Nov-17, BAJAJ ELECTRICALS LTD,387.75,392.95,385.05,385.7,26195,611
31-Oct-17, BAJAJ ELECTRICALS LTD,382,393.2,382,387.6,20305,493
30-Oct-17, BAJAJ ELECTRICALS LTD,385.55,395.4,383.45,385.55,48993,999
27-Oct-17, BAJAJ ELECTRICALS LTD,388.65,391.75,383.7,385.35,41591,946
26-Oct-17, BAJAJ ELECTRICALS LTD,380.05,393.9,380.05,388.55,29120,709
25-Oct-17, BAJAJ ELECTRICALS LTD,388.1,390.45,378.3,380.65,27600,772
24-Oct-17, BAJAJ ELECTRICALS LTD,403.8,403.8,385.7,388.4,41131,1203
23-Oct-17, BAJAJ ELECTRICALS LTD,409,416,402,405.2,43094,1053
19-Oct-17, BAJAJ ELECTRICALS LTD,418.5,419.15,405.25,409.3,21588,582
18-Oct-17, BAJAJ ELECTRICALS LTD,418.1,428.85,412.5,418.3,126529,2987
17-Oct-17, BAJAJ ELECTRICALS LTD,392.15,417.9,391.55,415.55,170311,3648
16-Oct-17, BAJAJ ELECTRICALS LTD,388.5,401.6,388.5,395.6,46800,1188
13-Oct-17, BAJAJ ELECTRICALS LTD,376.6,394.9,376.6,392.2,79778,1741
12-Oct-17, BAJAJ ELECTRICALS LTD,379,381,373,374.8,27766,645
11-Oct-17, BAJAJ ELECTRICALS LTD,387.7,394.75,375.15,377,56010,1642
10-Oct-17, BAJAJ ELECTRICALS LTD,394,409.95,382,388.45,130093,2577
09-Oct-17, BAJAJ ELECTRICALS LTD,367,397,367,390.75,157927,3545
06-Oct-17, BAJAJ ELECTRICALS LTD,368,373.9,365.5,366.55,26949,630
05-Oct-17, BAJAJ ELECTRICALS LTD,364,372,363.25,366.3,23333,612
04-Oct-17, BAJAJ ELECTRICALS LTD,362.8,369.35,357.8,359.1,25918,648
03-Oct-17, BAJAJ ELECTRICALS LTD,351.7,369.95,351.7,363,49901,1276
29-Sep-17, BAJAJ ELECTRICALS LTD,360,362.45,351.1,353.05,24945,533
28-Sep-17, BAJAJ ELECTRICALS LTD,356.05,362.45,353.05,357.4,17912,436
