Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-August-2017,7.75,8.10,7.62,7.65,7.712091503267973856,18360,43,141594.00,16360,89.11,0.48,-0.10
24-August-2017,7.35,7.80,7.24,7.68,7.573325424347508669,21916,38,165977.00,19816,90.42,0.56,0.33
23-August-2017,7.07,7.70,7.05,7.23,7.185489670184440168,51453,75,369715.00,36669,71.27,0.65,0.16
22-August-2017,7.16,7.45,7.15,7.27,7.331203111975548763,17995,34,131925.00,16991,94.42,0.30,0.11
21-August-2017,7.63,7.88,7.21,7.46,7.602676644121456324,6949,21,52831.00,6800,97.86,0.67,-0.17
18-August-2017,7.27,7.85,7.27,7.68,7.557562209541737749,16999,41,128471.00,16549,97.35,0.58,0.41
17-August-2017,7.35,7.80,7.25,7.57,7.485458905602790494,22935,44,171679.00,20478,89.29,0.55,0.22
16-August-2017,7.50,7.75,7.33,7.40,7.430295250320924261,11685,36,86823.00,10885,93.15,0.42,-0.10
14-August-2017,7.60,7.60,7.20,7.30,7.467047550497098384,22229,37,165985.00,21440,96.45,0.40,-0.30
11-August-2017,7.70,8.00,7.40,7.44,7.724155540964470708,27414,63,211750.00,21394,78.04,0.60,-0.26
10-August-2017,7.22,8.32,7.22,7.80,7.762609208340033231,55971,93,434481.00,41852,74.77,1.10,0.58
9-August-2017,8.10,8.35,7.75,7.83,7.968415787342495772,41983,80,334538.00,39983,95.24,0.60,-0.27
8-August-2017,8.28,8.50,8.15,8.26,8.361428167154042071,21202,46,177279.00,19544,92.18,0.35,-0.02
7-August-2017,8.50,8.79,8.36,8.37,8.517724035116779857,12074,33,102843.00,10422,86.32,0.43,-0.13
4-August-2017,8.22,8.64,8.22,8.51,8.487547987006595137,10159,28,86225.00,7857,77.34,0.42,0.29
3-August-2017,8.37,8.59,8.37,8.44,8.413410426186701482,21446,24,180434.00,19411,90.51,0.22,0.07
2-August-2017,8.45,8.65,8.42,8.49,8.507518026328689715,112197,40,954518.00,109115,97.25,0.23,0.04
1-August-2017,8.53,8.57,8.45,8.54,8.520656779661016949,35872,60,305653.00,32011,89.24,0.12,0.01
31-July-2017,8.50,8.79,8.43,8.58,8.597011777113728247,28445,59,244542.00,26307,92.48,0.36,0.08
28-July-2017,8.50,8.94,8.25,8.47,8.463900928792569659,8075,34,68346.00,5218,64.62,0.69,-0.03
27-July-2017,8.43,9.59,8.43,8.53,8.612187994316201506,37299,78,321226.00,34470,92.42,1.16,0.10
26-July-2017,8.95,9.00,8.70,8.80,8.827897082658022690,29616,92,261447.00,16905,57.08,0.30,-0.15
25-July-2017,8.77,9.29,8.25,8.67,8.834892957473602634,51615,69,456013.00,43897,85.05,1.04,-0.10
24-July-2017,8.71,8.98,8.66,8.75,8.788193542802735220,23106,43,203060.00,20852,90.24,0.32,0.04
21-July-2017,8.81,8.90,8.66,8.72,8.709952778786778060,22024,41,191828.00,19952,90.59,0.24,-0.09
20-July-2017,8.65,8.91,8.65,8.80,8.842190889370932754,9220,28,81525.00,8045,87.26,0.26,0.15
19-July-2017,8.55,8.84,8.54,8.65,8.642448173741362290,5065,14,43774.00,4915,97.04,0.30,0.10
18-July-2017,8.35,8.89,8.35,8.55,8.644917021855445724,22054,34,190655.00,18788,85.19,0.54,0.20
17-July-2017,8.66,9.00,8.51,8.60,8.768219705065184868,9358,41,82053.00,7423,79.32,0.49,-0.06
14-July-2017,8.80,8.80,8.50,8.61,8.667453589440927138,9319,28,80772.00,8569,91.95,0.30,-0.19
13-July-2017,8.71,9.09,8.60,8.70,8.752447914420049173,23183,55,202908.00,19135,82.54,0.49,-0.01
12-July-2017,8.31,8.99,8.16,8.80,8.792309351741991155,55626,57,489081.00,48736,87.61,0.83,0.49
11-July-2017,9.00,9.01,8.50,8.56,8.656835301882069138,43941,85,380390.00,41322,94.04,0.51,-0.44
10-July-2017,8.80,9.25,8.80,8.89,8.978541119418064255,24745,55,222174.00,18878,76.29,0.45,0.09
7-July-2017,8.65,8.99,8.65,8.73,8.728336928993527811,53305,84,465264.00,46982,88.14,0.34,0.08
6-July-2017,9.69,9.69,8.70,8.96,8.881154205445801473,57806,102,513384.00,44822,77.54,0.99,-0.73
5-July-2017,9.50,9.50,8.87,8.93,8.980526206753677232,43443,60,390141.00,41450,95.41,0.63,-0.57
4-July-2017,8.72,8.98,8.70,8.91,8.841506434143190738,20127,62,177953.00,15026,74.66,0.28,0.19
3-July-2017,9.00,9.23,8.56,8.87,8.861396842036296927,30526,51,270503.00,25844,84.66,0.67,-0.13
30-June-2017,8.60,8.82,8.60,8.69,8.775534911597243032,83425,67,732099.00,83425,100.00,0.22,0.09
29-June-2017,8.50,8.90,8.50,8.81,8.770379892725741389,22559,55,197851.00,19951,88.44,0.40,0.31
28-June-2017,8.45,8.78,8.36,8.46,8.488771617862161929,34867,66,295978.00,33621,96.43,0.42,0.01
27-June-2017,9.05,9.05,8.50,8.56,8.764127997567742180,52626,127,461221.00,44332,84.24,0.55,-0.49
23-June-2017,9.90,9.90,9.01,9.19,9.201418673705047838,30310,75,278895.00,28727,94.78,0.89,-0.71
22-June-2017,9.98,9.98,9.45,9.48,9.509675848020547338,45164,82,429495.00,36052,79.82,0.53,-0.50
21-June-2017,9.50,9.89,9.50,9.60,9.728763800014063708,56884,56,553411.00,55283,97.19,0.39,0.10
20-June-2017,9.50,9.99,9.50,9.61,9.798867044318560479,15005,55,147032.00,13173,87.79,0.49,0.11
19-June-2017,9.85,10.15,9.57,9.73,9.771336187266599872,21958,57,214559.00,18206,82.91,0.58,-0.12
16-June-2017,10.00,10.00,9.75,9.85,9.946674440507691617,22297,55,221781.00,21146,94.84,0.25,-0.15
15-June-2017,9.90,10.30,9.90,9.96,9.979758170460334057,37299,101,372235.00,32174,86.26,0.40,0.06
14-June-2017,10.00,10.70,9.85,10.13,10.254396248534583821,28149,76,288651.00,14996,53.27,0.85,0.13
13-June-2017,9.63,10.62,9.63,10.24,10.473116639930710159,163949,315,1717057.00,108295,66.05,0.99,0.61
12-June-2017,10.50,10.50,9.50,9.66,9.779068104459254597,69922,114,683772.00,56470,80.76,1.00,-0.84
